,DB,HC,Sil,hom
ts2vec,1.6298098714055862,96.2111209209316,0.10993281823117863,0.14072973339179962
takens_one_BC_2,2.0229052800443625,37.97623083910166,0.08495632880473447,0.0542166327888231
takens_one_PL_2,1.4990285369907708,50.71018395148254,0.15876327421166117,0.0555193262548541
transformer_embds_sum_23,1.1523337831406444,194.3083517686126,0.32204855532421917,0.04955812608979418
transformer_embds3,1.199505979602092,181.16428029375186,0.3103737206467498,0.043212589064543616
transformer_embds2,2.9728901058639905,25.088841898790218,0.06356042113446185,0.10823456368901754
takens_mult_PI_0_sigma=0.0005,1.8559074045154056,67.14334478710643,0.10186309327608774,0.11606262553860175
takens_mult_PL_2,1.6687402062950456,48.430038982403964,0.173945363491414,0.04747912941674275
takens_one_BC_1,2.223337609693793,35.830549052245416,0.07113974717696966,0.046801382322413404
table_finance_features,1.053342689803442,133.29217721391296,0.2267191801956845,0.1813541825343329
takens_mult_PI_1_sigma=0.0005,2.50472295085787,24.256720449550087,0.06865041614790816,0.09806622452471249
signal2vec_embds,1.31126859999793,253.11054542669737,0.1827242165760349,0.17414329256823824
autoencoder_mlp,2.5707625819655715,25.239257562259272,0.019300258522693542,0.19563813000387606
takens_mult_PL_1,2.1123365965043424,34.154994504097715,0.05325269892012727,0.07593975132369635
tsfresh,2.3800446657459164,37.672611260250925,0.06895630721365663,0.2800048753491834
takens_one_BC_0,1.1059423551122232,243.60063725577623,0.23293206854697984,0.08219919168125994
pca,3.8491249472835394,3.820621757135681,-0.059043018838151294,0.18819552260411673
takens_one_PI_0_sigma=0.0005,2.2130787835801433,66.33491161238379,0.11503035392562952,0.11573934156956876
autoencoder_conv,2.0263306369520255,28.347534023875117,0.07571258145654924,0.24718169947004465
takens_mult_BC_0,1.3572319050896708,182.798103904982,0.19939700726804208,0.0698767394392941
takens_one_PI_2_sigma=0.0005,1.8276723782191318,55.02873956125573,0.1278525073268462,0.0644277617866045
takens_one_PI_1_sigma=0.0005,2.486271930474542,22.802341236621697,0.04925258072966628,0.07505678525837364
takens_mult_PI_2_sigma=0.0005,2.0797063894570345,55.35191227394974,0.09469733181293671,0.06624601536937838
umap,0.804691323596257,499.1460780724288,0.4581516279520287,0.5541429378208329
fastica,3.8491249472835394,3.820621757135681,-0.059043018838151294,0.18819552260411673
transformer_embds1,1.312675446496394,158.9546913573566,0.2861531528049081,0.04121531442010432
takens_mult_BC_2,2.032988267310894,41.87064665316657,0.07190768202673284,0.04189945344352686
takens_one_PL_1,2.1389643998350856,33.10613825213842,0.06040546704639735,0.07660645475982264
autoencoder_lstm,0.8892193499351797,309.81341511033855,0.2916669327994988,0.14630656204350517
transformer_embds_sum_all,3.2636527947747322,13.973522287711218,0.031539212989746636,0.3924776258947206
tnse,0.9483925236399601,144.15088671670358,0.2404869364479963,0.32793887395194316
takens_mult_BC_1,2.128999506157237,43.7009183816916,0.07982515951011816,0.06342099507133596
tsclust_MSTcorr,23.030255380685094,0.7243168567650894,-0.4335202045715511,0.05110389909249449
tsclust_KShape,5.705048924224659,1.5461166868349916,-0.3758244550453827,0.058889531369334044
sectors,3.7449437798804626,10.966540734814357,-0.013595955682291447,1.0
